figure_id,manuscript_asset,data_class,source_files,function,display_rule,notes
Fig1,fig_electrodeposition_setup.jpg,photograph,,not_reproduced,,Experimental setup photograph; not generated from numerical data and not included in this repository.
Fig2,configuration diagrams,illustration,,not_reproduced,,Experimental cell diagrams; not generated from numerical data and not included in this repository.
Fig3,dummy-cell configuration diagrams,illustration,,not_reproduced,,Experimental cell diagrams; not generated from numerical data and not included in this repository.
Fig4,fig_potentiostat_validation.png,data plot,Main_Fig4/*.xlsx,plot_figure_4,all 60 points,"Eight measured Nyquist series; dummy-cell semicircle model and small display offsets are generated in code."
Fig5,fig_two_electrode_ceq.png,data plot,"Main_Fig5/Configuration1_Bar1WE.xlsx; Main_Fig5/Configuration1_Bar2WE.xlsx; Main_Fig5/Configuration2.xlsx",plot_figure_5,first 78 of 80 points,"The Figure 5 equivalent response C_eq is calculated in memory from the exported C' and C'' columns of the two Configuration 1 exports."
Fig6,fig_pt_vs_barbar_3e.png,data plot,"Main_Fig6-7/Configuration 1.xlsx; Main_Fig6-7/Configuration 3.xlsx",plot_figure_6,"Configuration 1: first 67; Configuration 3: first 66 of 80 points",Configuration 1 versus Configuration 3.
Fig7,fig_DummyControl_Confi3_Config3dummy_Config2dummy.png,data plot,"Main_Fig6-7/Configuration 3 + dummy on CE.xlsx; Main_Fig6-7/Configuration 3.xlsx; Main_Fig6-7/Configuration 2 + dummy on CE.xlsx; optional Main_Fig6-7/Configuration 1.xlsx",plot_figure_7,"Configuration 3 + dummy on CE: first 67; Configuration 3: first 66; Configuration 2 + dummy on CE: first 69; optional Configuration 1: first 67 of 80 points",Passive dummy-cell control; Configuration 1 is available as an optional Pt-CE comparison series.
FigS1,Supp_fig1_pt_vs_barbar_3e.png,data plot,"Supplementary_Fig1/Configuration1.xlsx; Supplementary_Fig1/Configuration3.xlsx",plot_supplementary_figure_1,"Configuration 1: first 71; Configuration 3: first 73 of 80 points",Additional Configuration 1 versus Configuration 3 comparison from one valid TiO2+rGO bar pair.
FigS2,Supp_fig2_pt_vs_barbar_3e.png,data plot,"Supplementary_Fig2/Configuration1.xlsx; Supplementary_Fig2/Configuration3.xlsx",plot_supplementary_figure_2,first 70 of 80 points for both series,Additional Configuration 1 versus Configuration 3 comparison from one valid TiO2+rGO bar pair.
FigS3,Supp_fig3_pt_vs_barbar_3e.png,data plot,"Supplementary_Fig3/Configuration1.xlsx; Supplementary_Fig3/Configuration3.xlsx",plot_supplementary_figure_3,all 80 points,Additional Configuration 1 versus Configuration 3 comparison from one valid TiO2+rGO bar pair.
FigS4,Supp_fig4_pt_vs_barbar_3e.png,data plot,"Supplementary_Fig4/Configuration1.xlsx; Supplementary_Fig4/Configuration3.xlsx",plot_supplementary_figure_4,"Configuration 1: first 65; Configuration 3: first 75 of 80 points",Additional Configuration 1 versus Configuration 3 comparison from one valid TiO2+rGO bar pair.
